Epoch #57 | Train Average MSE: 0.8946 | Test Average MSE: 0.8445
Epoch #58 | Train Average MSE: 0.8502 | Test Average MSE: 0.8152
Epoch #59 | Train Average MSE: 0.8781 | Test Average MSE: 0.8925
Epoch #60 | Train Average MSE: 0.8764 | Test Average MSE: 0.8102
Epoch #61 | Train Average MSE: 0.8455 | Test Average MSE: 0.8139
Epoch #62 | Train Average MSE: 0.9168 | Test Average MSE: 0.8980
Epoch #63 | Train Average MSE: 0.8415 | Test Average MSE: 0.7901
Epoch #64 | Train Average MSE: 0.8945 | Test Average MSE: 0.8817
Epoch #65 | Train Average MSE: 0.8865 | Test Average MSE: 0.8705
Epoch #66 | Train Average MSE: 0.8126 | Test Average MSE: 0.7771
Epoch #67 | Train Average MSE: 0.8198 | Test Average MSE: 0.7881
Epoch #68 | Train Average MSE: 0.8257 | Test Average MSE: 0.8117
Epoch #69 | Train Average MSE: 0.8268 | Test Average MSE: 0.8097
Epoch #70 | Train Average MSE: 0.8527 | Test Average MSE: 0.8388
Epoch #71 | Train Average MSE: 0.8500 | Test Average MSE: 0.7961
Epoch #72 | Train Average MSE: 0.8411 | Test Average MSE: 0.8273
Epoch #73 | Train Average MSE: 0.8289 | Test Average MSE: 0.8575
Epoch #74 | Train Average MSE: 0.8393 | Test Average MSE: 0.8644
Epoch #75 | Train Average MSE: 0.8224 | Test Average MSE: 0.8253
Epoch #76 | Train Average MSE: 0.8489 | Test Average MSE: 0.7937
Epoch #77 | Train Average MSE: 0.8362 | Test Average MSE: 0.8040
Epoch #78 | Train Average MSE: 0.8184 | Test Average MSE: 0.8155
Epoch #79 | Train Average MSE: 0.8050 | Test Average MSE: 0.7915
Epoch #80 | Train Average MSE: 0.8186 | Test Average MSE: 0.8305
Epoch #81 | Train Average MSE: 0.8272 | Test Average MSE: 0.8211
Epoch #82 | Train Average MSE: 0.8299 | Test Average MSE: 0.7738
Epoch #83 | Train Average MSE: 0.8203 | Test Average MSE: 0.8178
Epoch #84 | Train Average MSE: 0.7810 | Test Average MSE: 0.8248
Epoch #85 | Train Average MSE: 0.7839 | Test Average MSE: 0.7866
Epoch #86 | Train Average MSE: 0.7583 | Test Average MSE: 0.7584
Epoch #87 | Train Average MSE: 0.7509 | Test Average MSE: 0.8026
Epoch #88 | Train Average MSE: 0.7557 | Test Average MSE: 0.8100
Epoch #89 | Train Average MSE: 0.9002 | Test Average MSE: 0.7757
Epoch #90 | Train Average MSE: 0.8674 | Test Average MSE: 0.7836
Epoch #91 | Train Average MSE: 0.8556 | Test Average MSE: 0.8702
Epoch #92 | Train Average MSE: 0.8122 | Test Average MSE: 0.7809
Epoch #93 | Train Average MSE: 0.7968 | Test Average MSE: 0.7943
Epoch #94 | Train Average MSE: 0.8264 | Test Average MSE: 0.8175
Epoch #95 | Train Average MSE: 0.7669 | Test Average MSE: 0.7577
Epoch #96 | Train Average MSE: 0.7473 | Test Average MSE: 0.7736
Epoch #97 | Train Average MSE: 0.7704 | Test Average MSE: 0.8226
Epoch #98 | Train Average MSE: 0.7839 | Test Average MSE: 0.8017
Epoch #99 | Train Average MSE: 0.7566 | Test Average MSE: 0.8000
Epoch #100 | Train Average MSE: 0.7531 | Test Average MSE: 0.7663
Epoch #1 | Train Average MSE: 1.0190 | Test Average MSE: 0.9964
Epoch #2 | Train Average MSE: 1.0087 | Test Average MSE: 1.0278
Epoch #3 | Train Average MSE: 1.1902 | Test Average MSE: 1.0936
Epoch #4 | Train Average MSE: 1.0151 | Test Average MSE: 1.0031
Epoch #5 | Train Average MSE: 1.0297 | Test Average MSE: 0.9892
Epoch #6 | Train Average MSE: 1.0294 | Test Average MSE: 0.9804
Epoch #7 | Train Average MSE: 1.0184 | Test Average MSE: 1.0069
Epoch #8 | Train Average MSE: 0.9668 | Test Average MSE: 1.0044
Epoch #9 | Train Average MSE: 0.9911 | Test Average MSE: 1.0723
Epoch #10 | Train Average MSE: 0.9944 | Test Average MSE: 1.0499
Epoch #11 | Train Average MSE: 0.9633 | Test Average MSE: 0.9895
Epoch #12 | Train Average MSE: 0.9478 | Test Average MSE: 0.9791
Epoch #13 | Train Average MSE: 0.9288 | Test Average MSE: 1.0222
Epoch #14 | Train Average MSE: 0.9633 | Test Average MSE: 1.0088
Epoch #15 | Train Average MSE: 0.9358 | Test Average MSE: 0.9656
Epoch #16 | Train Average MSE: 0.9407 | Test Average MSE: 0.9370
Epoch #17 | Train Average MSE: 0.9444 | Test Average MSE: 0.9400
Epoch #18 | Train Average MSE: 0.9303 | Test Average MSE: 0.9773
Epoch #19 | Train Average MSE: 0.9209 | Test Average MSE: 0.8994
Epoch #20 | Train Average MSE: 0.9281 | Test Average MSE: 0.9349
Epoch #21 | Train Average MSE: 113.7129 | Test Average MSE: 131.5486
Epoch #22 | Train Average MSE: 1.6967 | Test Average MSE: 1.0209
Epoch #23 | Train Average MSE: 1.0328 | Test Average MSE: 0.9952
Epoch #24 | Train Average MSE: 1.0319 | Test Average MSE: 0.9938
Epoch #25 | Train Average MSE: 1.0303 | Test Average MSE: 0.9913
Epoch #26 | Train Average MSE: 1.0311 | Test Average MSE: 0.9927
Epoch #27 | Train Average MSE: 1.0322 | Test Average MSE: 0.9943
Epoch #28 | Train Average MSE: 1.0338 | Test Average MSE: 0.9966
Epoch #29 | Train Average MSE: 1.0356 | Test Average MSE: 0.9990
Epoch #30 | Train Average MSE: 1.0363 | Test Average MSE: 0.9999
Epoch #31 | Train Average MSE: 1.0351 | Test Average MSE: 0.9984
Epoch #32 | Train Average MSE: 1.0333 | Test Average MSE: 0.9959
Epoch #33 | Train Average MSE: 1.0321 | Test Average MSE: 0.9941
Epoch #34 | Train Average MSE: 1.0334 | Test Average MSE: 0.9960
Epoch #35 | Train Average MSE: 1.0347 | Test Average MSE: 0.9978
Epoch #36 | Train Average MSE: 1.0337 | Test Average MSE: 0.9964
Epoch #37 | Train Average MSE: 1.0331 | Test Average MSE: 0.9956
Epoch #38 | Train Average MSE: 1.0325 | Test Average MSE: 0.9947
Epoch #39 | Train Average MSE: 1.0321 | Test Average MSE: 0.9941
Epoch #40 | Train Average MSE: 1.0318 | Test Average MSE: 0.9937
Epoch #41 | Train Average MSE: 1.0315 | Test Average MSE: 0.9933
Epoch #42 | Train Average MSE: 1.0313 | Test Average MSE: 0.9930
Epoch #43 | Train Average MSE: 1.0312 | Test Average MSE: 0.9927
Epoch #44 | Train Average MSE: 1.0310 | Test Average MSE: 0.9925
Epoch #45 | Train Average MSE: 1.0309 | Test Average MSE: 0.9924
Epoch #46 | Train Average MSE: 1.0308 | Test Average MSE: 0.9922
Epoch #47 | Train Average MSE: 1.0307 | Test Average MSE: 0.9920
Epoch #48 | Train Average MSE: 1.0307 | Test Average MSE: 0.9919
Epoch #49 | Train Average MSE: 1.0306 | Test Average MSE: 0.9918
Epoch #50 | Train Average MSE: 1.0305 | Test Average MSE: 0.9917
Epoch #51 | Train Average MSE: 1.0305 | Test Average MSE: 0.9916
Epoch #52 | Train Average MSE: 1.0305 | Test Average MSE: 0.9915
Epoch #53 | Train Average MSE: 1.0304 | Test Average MSE: 0.9915
Epoch #54 | Train Average MSE: 1.0304 | Test Average MSE: 0.9914
Epoch #55 | Train Average MSE: 1.0303 | Test Average MSE: 0.9913
Epoch #56 | Train Average MSE: 1.0303 | Test Average MSE: 0.9913
Epoch #57 | Train Average MSE: 1.0303 | Test Average MSE: 0.9912
Epoch #58 | Train Average MSE: 1.0303 | Test Average MSE: 0.9912
Epoch #59 | Train Average MSE: 1.0302 | Test Average MSE: 0.9911
Epoch #60 | Train Average MSE: 1.0301 | Test Average MSE: 0.9909
Epoch #1 | Train Average MSE: 0.9853 | Test Average MSE: 0.9936
Epoch #2 | Train Average MSE: 0.9704 | Test Average MSE: 1.0074
Epoch #3 | Train Average MSE: 0.9581 | Test Average MSE: 1.0254
Epoch #4 | Train Average MSE: 0.9363 | Test Average MSE: 0.9670
Epoch #5 | Train Average MSE: 0.8771 | Test Average MSE: 0.9091
Epoch #6 | Train Average MSE: 0.8843 | Test Average MSE: 0.9597
Epoch #7 | Train Average MSE: 0.8738 | Test Average MSE: 0.9147
Epoch #8 | Train Average MSE: 0.8475 | Test Average MSE: 0.9118
